merchant,description,amount,date,type,category,confidence,method,transaction_type
FRESH LAUNDRY - NUS SI NG 27OCT,FRESH LAUNDRY - NUS SI NG 27OCT,1.0,2024-10-31,withdrawal,others,0.7828640937805176,bert,Debit Card Transaction
FRESH LAUNDRY - NUS SI NG 27OCT,FRESH LAUNDRY - NUS SI NG 27OCT,1.0,2024-10-31,withdrawal,others,0.7828640937805176,bert,Debit Card Transaction
INCOMING PAYNOW REF 1543141,INCOMING PAYNOW REF 1543141,1300.0,2024-11-01,withdrawal,others,1.0,filtered_incoming,"FAST Payment / Receipt 1,300.00 15,306.0"
122-01179-8 : I-BANK,122-01179-8 : I-BANK,1200.0,2024-11-01,withdrawal,utilities,0.21499395370483398,bert,"Funds Transfer 1,200.00 14,106.0"
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,27.25,2024-11-02,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,6.9,2024-11-02,withdrawal,others,1.0,hardcoded,Funds Transfer
BUS/MRT 528114897 SI NG 29OCT,BUS/MRT 528114897 SI NG 29OCT,3.34,2024-11-03,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
STUFF'D ONE@KENT RIDGE SI NG 30OCT,STUFF'D ONE@KENT RIDGE SI NG 30OCT,7.85,2024-11-03,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
STARBUCKS-SC-MOBILE AP SI NG 31OCT,STARBUCKS-SC-MOBILE AP SI NG 31OCT,10.0,2024-11-03,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
YEW KEE - NUS U TOWN SI NG 31OCT,YEW KEE - NUS U TOWN SI NG 31OCT,6.1,2024-11-03,withdrawal,groceries,0.43183064460754395,bert,Debit Card Transaction
YEW KEE - NUS U TOWN SI NG 31OCT,YEW KEE - NUS U TOWN SI NG 31OCT,4.7,2024-11-03,withdrawal,groceries,0.43183064460754395,bert,Debit Card Transaction
YA KUN ONE RAFFLES PLA SI NG 01NOV,YA KUN ONE RAFFLES PLA SI NG 01NOV,6.1,2024-11-03,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
MR BEAN - NUS SI NG 01NOV,MR BEAN - NUS SI NG 01NOV,1.8,2024-11-03,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
